title,emulator,download_link
"2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Disney%20Games%20-%20Disney%20Sports%20-%20Football%20%2B%20Disney%20Sports%20-%20Skateboarding%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En Fr De Es+En Fr De Es It Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Disney%20Games%20-%20Lilo%20%26%20Stitch%202%20%2B%20Peter%20Pan%20-%20Return%20to%20Neverland%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip"
"2 Game Pack! - Matchbox Missions - Emergency Response & Air  Land and Sea Rescue (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Game%20Pack%21%20-%20Matchbox%20Missions%20-%20Emergency%20Response%20%26%20Air%2C%20Land%20and%20Sea%20Rescue%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Game Pack! - Uno & Skip-Bo (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Game%20Pack%21%20-%20Uno%20%26%20Skip-Bo%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Alla Ricerca di Nemo + Gli Incredibili - Una 'Normale' Famiglia di Supereroi (Italy) (Es It+It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Alla%20Ricerca%20di%20Nemo%20%2B%20Gli%20Incredibili%20-%20Una%20%27Normale%27%20Famiglia%20di%20Supereroi%20%28Italy%29%20%28Es%2CIt%2BIt%29.zip"
"2 Games in 1 - Brother Bear + The Lion King (Europe) (En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Brother%20Bear%20%2B%20The%20Lion%20King%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Buscando a Nemo + Los Increibles (Spain) (Es It+Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Buscando%20a%20Nemo%20%2B%20Los%20Increibles%20%28Spain%29%20%28Es%2CIt%2BEs%29.zip"
"2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En Ja Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Columns%20Crown%20%2B%20ChuChu%20Rocket%21%20%28Europe%29%20%28En%2BEn%2CJa%2CFr%2CDe%2CEs%29.zip"
"2 Games in 1 - Disney Princesas + El Rey Leon (Spain) (Es+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disney%20Princesas%20%2B%20El%20Rey%20Leon%20%28Spain%29%20%28Es%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Disney Princesas + Hermano Oso (Spain) (Es+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disney%20Princesas%20%2B%20Hermano%20Oso%20%28Spain%29%20%28Es%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disney%20Princess%20%2B%20Brother%20Bear%20%28Europe%29%20%28En%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Disney Princesse + Frere des Ours (France) (Fr+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disney%20Princesse%20%2B%20Frere%20des%20Ours%20%28France%29%20%28Fr%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Disney Princesse + Le Roi Lion (France) (Fr+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disney%20Princesse%20%2B%20Le%20Roi%20Lion%20%28France%29%20%28Fr%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Disney Principesse + Il Re Leone (Italy) (It+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disney%20Principesse%20%2B%20Il%20Re%20Leone%20%28Italy%29%20%28It%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
